67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
15:53:06.0 (975823)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
15:53:06.0 (1104650)|EXECUTION_STARTED
15:53:06.0 (1127006)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
15:53:06.0 (2018673)|CODE_UNIT_FINISHED|Flow:Quote
15:53:06.0 (2046256)|EXECUTION_FINISHED
15:53:06.8 (8496508)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
15:53:06.8 (8515974)|EXECUTION_STARTED
15:53:06.8 (8523398)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
15:53:06.8 (8550582)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
15:53:06.8 (8608120)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:53:06.8 (8750311)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:53:06.8 (10372092)|HEAP_ALLOCATE|[95]|Bytes:3
15:53:06.8 (10438470)|HEAP_ALLOCATE|[100]|Bytes:152
15:53:06.8 (10453112)|HEAP_ALLOCATE|[417]|Bytes:408
15:53:06.8 (10464338)|HEAP_ALLOCATE|[430]|Bytes:408
15:53:06.8 (10485009)|HEAP_ALLOCATE|[317]|Bytes:6
15:53:06.8 (10503679)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:53:06.8 (10518260)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
15:53:06.8 (10621723)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x5f5373c7
15:53:06.8 (10649174)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:53:06.8 (10654448)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
15:53:06.8 (10661111)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x5f5373c7
15:53:06.8 (10670076)|STATEMENT_EXECUTE|[4]
15:53:06.8 (10687838)|HEAP_ALLOCATE|[68]|Bytes:5
15:53:06.8 (10719080)|HEAP_ALLOCATE|[74]|Bytes:5
15:53:06.8 (10724604)|HEAP_ALLOCATE|[82]|Bytes:7
15:53:06.8 (10756133)|STATEMENT_EXECUTE|[5]
15:53:06.8 (10757185)|STATEMENT_EXECUTE|[6]
15:53:06.8 (11737165)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
15:53:06.8 (11750794)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
15:53:06.8 (11791709)|HEAP_ALLOCATE|[6]|Bytes:5
15:53:06.8 (11798202)|HEAP_ALLOCATE|[6]|Bytes:5
15:53:06.8 (11834097)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
15:53:06.8 (11838425)|HEAP_ALLOCATE|[6]|Bytes:7
15:53:06.8 (11844111)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
15:53:06.8 (11883248)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
15:53:06.8 (11909828)|STATEMENT_EXECUTE|[6]
15:53:06.8 (11920167)|STATEMENT_EXECUTE|[6]
15:53:06.8 (13010970)|SYSTEM_MODE_ENTER|false
15:53:06.8 (13211452)|HEAP_ALLOCATE|[6]|Bytes:5
15:53:06.8 (13227435)|SYSTEM_MODE_EXIT|false
15:53:06.8 (13257851)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
15:53:06.8 (13279427)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
15:53:06.8 (13304804)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
15:53:06.8 (46920380)|VARIABLE_ASSIGNMENT|[11]|quotes|[{"LastModifiedDate":"2026-06-14T22:51:39.000Z","Quote_Type__c":"Renewal","Bill_To_Place__c":"a0lWC000004n3DlYAI","Export_Compliance_Status__c":"Pending","Net_Terms_Approval__c":false,"Exchange_Rate_To_USD__c":1.0000000000,"Export_Review_Required__c":false,"Within_Renewal_Window__c":false,"IsPrimary__c":false,"Credit_Renewal_Approval__c":false,"Days_Until_Renewal__c":360,"Renewal_Contract__c":"800WC00000S5ub1YAB","QuoteAccountId":"001WC00000kTYyNYAW","Pro_Ration_Method__c":"Monthly","Renewal_ARR_Approval__c":false,"Status":"Draft","Show_Hide_Discounts__c":"Show","IsDeleted":false,"Subtotal":60.64,"Force_New_Contract__c":false,"Net_Contract_Change__c":0.00,"Signed_Quote_Approval__c":false,"Terms_and_Conditions__c":false,"Payment_Portal__c":"Fortra (default)","Original_Contract_ARR__c":0.00,"BillingStateCode":"MN","GrandTotal":60.64,"ShippingPostalCode":"55344","ShippingState":"Minnesota","Mycap__c":false,"Deal_Type__c":"Fortra Originated","Id":"0Q0WC0000038aXd0AI","Subscription_Pricing_Discount_Approval__c":false,"Net_Terms__c":"Net_30","Discount":0.00,"Services_Discount_Approval__c":false,"Total_Contract_Value_TCV__c":60.64,"LineItemCount":1,"OwnerId":"005WC00000MgTN2YAN","OpportunityId":"006WC00000QqAqjYAF","LegalEntityId":"0fwWC000000034LYAQ","Language__c":"English","ShippingCity":"Eden Prairie","GSW__c":false,"Manually_Sent__c":false,"CalculationStatus":"Saving","Corporate_Currency_Amount__c":60.64,"Annual_Contract_Value_ACV__c":60.64,"Max_Discount_on_QLIs__c":0.00,"Quote_Displaced_ARR__c":0.00,"OriginalActionType":"Renew","Ship_To_Place__c":"a0lWC000004n3DlYAI","Show_Hide_Product_Number__c":"Show","SystemModstamp":"2026-06-14T22:51:39.000Z","Create_Order_from_Quote__c":false,"BillingCountry":"United States","Manual_Discount__c":0.00,"QuoteToCountryCode":"US","TotalPrice":60.64,"AdditionalCountryCode":"US","Legal_Support_Approval__c":false,"AccountId":"001WC00000kTYyNYAW","ShippingStateCode":"MN","BillingCity":"Eden Prairie","QuoteToCountry":"United States","Total_Discount_Amount__c":0.00,"MYCAP_Approval__c":false,"Name":"Renewal Quote","License_Extension_Approval__c":false,"StartDate":"2026-06-13T00:00:00.000Z","CreatedById":"005WC00000MgTN2YAN","Auto_Renewal__c":false,"Channel_MSP_Pricing_Discount_Approval__c":false,"BillingPostalCode":"55344","Annualized_License_Equivalent_Base__c":60.64,"Show_Hide_Free_Products__c":"Show","Maintenance_Max_Discount__c":0.00,"Total_Displaced_ARR__c":0.00,"CurrencyIsoCode":"USD","LegacyRenewalQuote__c":false,"Credit_Renewal_ARR__c":false,"ShippingStreet":"11095 Viking Drive,  (9 more) ...","Annuial_Revenue_Base__c":60.64,"AdditionalCountry":"United States","Total_Quote_Line_ARR__c":0.00,"CreatedDate":"2026-06-13T03:39:55.000Z","Pricebook2Id":"01sWC0000022GHFYA2","IsSyncing":false,"Renewal_Cancellation_Approval__c":false,"BillingState":"Minnesota","TransactionType":"Fortra_Advanced_Pric (3 more) ...","Discount_Renewal_ARR__c":false,"Contains_Offensive_Security__c":false,"BillingCountryCode":"US","Temp_License_Key_Extension__c":false,"Disable_Export_Control__c":false,"ContactId":"003WC00000wxDZJYA2","PartnerAccountId":"001WC00000ZtazZYAR","Export_License_Required__c":false,"Billing_Partner__c":"001WC00000ZtazZYAR","SalesTransactionTypeId":"1ChWC0000002eJ70AI","Maintenance_Discount_Approval__c":false,"Partner_Pricing_Model__c":"Discount","ShippingCountry":"United States","LineGroupCount":0,"Approval_Status__c":"None","Unsigned_Quote_Approval__c":false,"ContractId":"800WC00000S5ub1YAB","BillToContactId":"003WC00000wxDZJYA2","QuoteTypeText__c":"Renewal","Approval_Rejected_Checkbox__c":false,"ShippingCountryCode":"US","QuoteNumber":"00781109","CanCreateQuoteLineItems":false,"ALE__c":60.64,"BillingStreet":"11095 Viking Drive,  (9 more) ...","Request_Legal_Support__c":false,"Perpetual_Pricing_Discount_Approval__c":false,"LastModifiedById":"005WC00000MgTN2YAN","Displaced_ARR_Approval__c":false}]|0x54406d11
15:53:06.8 (47891742)|SYSTEM_MODE_ENTER|false
